,SK_ID_CURR,TARGET,EXT_SOURCE_1 EXT_SOURCE_2 EXT_SOURCE_3,PAYMENT_RATE,AMT_ANNUITY,EXT_SOURCE_2^2 EXT_SOURCE_3,EXT_SOURCE_3_x,CNT_DRAWINGS_ATM_CURRENT,NAME_FAMILY_STATUS_Married,CNT_DRAWINGS_CURRENT,NAME_CONTRACT_STATUS_Refused,EXT_SOURCE_1^2 DAYS_BIRTH,DAYS_ID_PUBLISH,CNT_PAYMENT,AMT_CREDIT,CODE_GENDER_M,PAYMENT_DIFF,DPD,NUM_INSTALMENT_NUMBER,AMT_CREDIT_MAX_OVERDUE,AMT_CREDIT_SUM_DEBT,OWN_CAR_AGE,NAME_EDUCATION_TYPE_Higher education,DAYS_EMPLOYED_PERC,REGION_RATING_CLIENT_W_CITY,AMT_GOODS_PRICE,EXT_SOURCE_2 EXT_SOURCE_3^2,EXT_SOURCE_2 EXT_SOURCE_3 DAYS_BIRTH,CNT_INSTALMENT_FUTURE,EXT_SOURCE_1_x,APP_CREDIT_PERC,DAYS_LAST_DUE_1ST_VERSION,OCCUPATION_TYPE_Core staff,AMT_PAYMENT
201622,333721,0.0,0.203119103032338,0.0293551020408163,32364.0,0.2472750253287149,0.6512602186973006,,True,,False,3013.5946163809585,-3325,9.333333333333334,1102500.0,True,0.0,0.0,3.1875,0.0,72742.5,9.0,False,-0.0584884808297203,3,1102500.0,0.261349668517258,4720.472804124078,5.894736842105263,,0.9681651215672554,-212.0,False,16194.380625
8728,110157,0.0,0.2352680247180968,0.05,36000.0,0.3386170098968885,0.6380435278721609,,True,,False,5943.414223023196,-4151,11.333333333333334,720000.0,False,-13185.0,0.0,3.933333333333333,0.0,-40.60125,,False,,1,720000.0,0.2965717956591657,10783.22839578353,7.405405405405405,,1.130668088001055,-1313.8,False,40563.126
152555,276815,0.0,0.0582355661763587,0.05,18000.0,0.0482863202530108,0.1082263226697141,,False,,False,12437.36601402236,-2558,10.666666666666666,360000.0,False,0.0,1.2857142857142858,4.642857142857143,,15939.0,7.0,True,-0.1790764414296895,2,360000.0,0.0078236859381882,1385.438748232891,6.0625,0.8055820780193036,0.9699505305182808,-820.6666666666666,False,6210.973928571429
218562,353213,0.0,0.0324154238824183,0.04634,10426.5,0.0168924846496622,0.1940678276718812,0.0,False,8.75,False,3338.545533569516,-3037,12.0,225000.0,False,219.48300000000003,0.231578947368421,14.442105263157895,,0.0,7.0,False,-0.1107910906298003,2,225000.0,0.0111116123883426,596.3819764740275,10.462962962962964,0.5661456390005007,0.708797009171618,-1059.25,False,19707.74194736842
299619,447111,0.0,0.1321659212927314,0.0287325,51718.5,0.1941553781425923,0.4418358231994413,,True,,True,2468.939072813745,-4286,,1800000.0,False,,,,35361.0,22764.375,,True,-0.2685360824742268,1,1800000.0,0.1294094822434396,3551.296408787185,,0.4512469845403997,,,False,
282815,427556,0.0,0.025527708049012,0.042363206754042,21541.5,0.0806475888323065,0.1884895337951677,,False,,False,570.3742356021027,-4081,19.2,508495.5,False,3357.326111111111,0.8024691358024691,15.012345679012345,8347.23,76820.34375,,False,-0.4431416760616309,2,454500.0,0.0232394879197661,1640.4167411677038,14.196969696969695,0.2070487011430605,0.9938061398016764,-875.3333333333334,False,16717.65611111111
8151,109506,0.0,0.1552592902419745,0.05,13500.0,0.1844599350043882,0.5100895276257282,,True,,False,3653.563956831492,-3679,10.0,270000.0,False,0.0,0.0,3.5,31495.5,22165.2,,False,-0.0457892153425426,1,270000.0,0.1564662365418609,4374.457577495522,7.5,,1.0,101.0,False,13379.445
79521,192184,0.0,0.1110799582931513,0.0428269974741823,12055.5,0.1360556629664502,0.3539876078507373,,True,,False,5824.02842932826,-4362,46.85714285714285,281493.0,False,0.0,0.0,5.085714285714285,,153324.0,,False,,3,243000.0,0.0776855776995049,4988.94932668804,28.55263157894737,,0.892897435849559,-100.0,False,55290.457285714285
152925,277245,0.0,0.0683383325969678,0.0323789649415692,34911.0,0.0341698091021492,,,True,,False,2542.712451549861,-2608,18.666666666666668,1078200.0,True,0.0,0.7407407407407407,5.185185185185185,,,13.0,False,-0.310528967254408,2,900000.0,0.0720278547985958,1340.0207592945253,10.34375,,1.0561082355686546,-462.6666666666667,False,49820.00666666668
241812,379974,0.0,0.0530041243450535,0.0481089108910891,21865.5,0.0205557404098661,,1.25,True,1.25,False,2657.742969509144,-1970,15.0,454500.0,False,0.0,0.0357142857142857,7.642857142857143,,,,False,-0.1388085598611914,2,454500.0,0.0558657670881134,1086.3569337773504,21.23076923076923,,0.4291845493562232,108.0,False,11986.0425
